number,formid,form.section_1_visit_information.visit_date,form.section_1_visit_information.crop_stage,form.section_1_visit_information.crops_observed_during_this_visit,form.section_1_visit_information.select_crop_condition.crop_condition_maize,form.section_1_visit_information.select_crop_condition.crop_condition_rice,form.section_1_visit_information.select_crop_condition.crop_condition_groundnuts,form.section_2_livestock_monitoring.which_livestock_were_observed_during_this_visit,form.section_2_livestock_monitoring.select_livestock_condition.goat_condition,form.section_2_livestock_monitoring.select_livestock_condition.rabbit_condition,form.section_3_adoption_of_recommended_practices.has_the_farmer_adopted_the_recommended_farming_practices,form.section_3_adoption_of_recommended_practices.which_recommended_practices_have_been_adopted,form.section_4_farm_challenges.what_challenges_were_observed_during_the_visit,form.section_4_farm_challenges.additional_comments,form.section_4_farm_challenges.capture_farm_photograph,form.section_5_farm_location.capture_monitoring_visit_gps,form.case.@case_id,completed_time,started_time,username,received_on,form_link,hq_user,monitoring_duration_minutes,monitoring_latitude,monitoring_longitude,registration_latitude,registration_longitude,gps_distance_meters,gps_within_expected_range
977,2ff6b0d6-1555-4e0f-a7f3-ad02cc07f0ef,2026-08-12,flowering,rice,---,poor,---,rabbits,---,fair,yes,improved_livestock_housing proper_spacing timely_weeding,no_major_challenge,Farmer following recommendations.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/2ff6b0d6-1555-4e0f-a7f3-ad02cc07f0ef/1784138498384.jpg,10.3396704 7.2647012 0.0 20.0,bfebc4a1-b2b9-4013-9fb4-16784dfb5a94,2026-08-12 15:09:00,2026-08-12 15:02:00,tester_03,2026-08-12 15:09:09,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/2ff6b0d6-1555-4e0f-a7f3-ad02cc07f0ef/,tester_03,7.0,10.3396704,7.2647012,10.3399058,7.2646048,28.219587138274225,Yes
978,1b7a2dad-6f7a-46c3-b944-a919e9272f4b,2026-06-01,vegetative_growth,rice,---,fair,---,rabbits,---,good,yes,fertilizer_application proper_spacing timely_weeding improved_seed pest_management,no_major_challenge,Farmer following recommendations.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/1b7a2dad-6f7a-46c3-b944-a919e9272f4b/1784589848117.jpg,10.3403395 7.2644830 0.0 20.0,bfebc4a1-b2b9-4013-9fb4-16784dfb5a94,2026-06-01 15:00:00,2026-06-01 14:58:00,tester_03,2026-06-01 15:00:21,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/1b7a2dad-6f7a-46c3-b944-a919e9272f4b/,tester_03,2.0,10.3403395,7.264483,10.3399058,7.2646048,50.031907575922794,Yes
979,86983854-82b1-47a4-b27c-bfc0e5b60ba3,2026-07-09,vegetative_growth,rice,---,fair,---,rabbits,---,fair,no,---,livestock_disease feed_shortage,Farm progressing well.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/86983854-82b1-47a4-b27c-bfc0e5b60ba3/1784246642170.jpg,10.3394212 7.2646296 0.0 20.0,bfebc4a1-b2b9-4013-9fb4-16784dfb5a94,2026-07-09 14:17:00,2026-07-09 14:12:00,tester_03,2026-07-09 14:17:12,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/86983854-82b1-47a4-b27c-bfc0e5b60ba3/,tester_03,5.0,10.3394212,7.2646296,10.3399058,7.2646048,53.953307769183645,Yes
980,aea218e8-26c4-44e5-a305-42e939098fcc,2026-05-03,planting,rice,---,poor,---,---,---,---,yes,improved_seed improved_livestock_housing timely_weeding proper_spacing,pest_infestation lack_of_fertilizer,Monitoring completed successfully.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/aea218e8-26c4-44e5-a305-42e939098fcc/1784931634991.jpg,10.2967973 7.4827053 0.0 20.0,1b204786-516b-4a10-9ac1-8fe4bc6387a8,2026-05-03 16:12:00,2026-05-03 16:10:00,tester_03,2026-05-03 16:12:14,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/aea218e8-26c4-44e5-a305-42e939098fcc/,tester_03,2.0,10.2967973,7.4827053,10.2969832,7.4822749,51.425003841249165,Yes
981,55c93573-aaea-4ed0-9198-4db374fac513,2026-06-27,flowering,groundnuts,---,---,fair,---,---,---,partially,timely_weeding improved_seed,no_major_challenge,Crop growth is satisfactory.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/55c93573-aaea-4ed0-9198-4db374fac513/1784745378922.jpg,10.5040597 7.3777932 0.0 20.0,6e3ea913-b623-4425-8dc3-c9fad97df9fa,2026-06-27 09:32:00,2026-06-27 09:29:00,tester_02,2026-06-27 09:32:10,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/55c93573-aaea-4ed0-9198-4db374fac513/,tester_02,3.0,10.5040597,7.3777932,10.5040995,7.3782172,46.5673319773113,Yes
982,a1773cb9-baf1-45b6-b8c5-71b151934045,2026-05-21,land_preparation,groundnuts,---,---,good,---,---,---,no,---,no_major_challenge,Minor challenges observed.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/a1773cb9-baf1-45b6-b8c5-71b151934045/1784407262051.jpg,10.5454048 7.4119757 0.0 20.0,84984422-e0bb-45d9-848b-b90593c29670,2026-05-21 16:25:00,2026-05-21 16:23:00,tester_06,2026-05-21 16:25:30,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/a1773cb9-baf1-45b6-b8c5-71b151934045/,tester_06,2.0,10.5454048,7.4119757,10.5457277,7.411506,62.65445002635626,Yes
983,edfd9515-297f-40cd-92ce-9db2d6f2fece,2026-06-19,harvesting,groundnuts,---,---,good,---,---,---,partially,improved_seed,livestock_disease lack_of_fertilizer,Crop growth is satisfactory.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/edfd9515-297f-40cd-92ce-9db2d6f2fece/1783755607147.jpg,10.5455368 7.4117358 0.0 20.0,84984422-e0bb-45d9-848b-b90593c29670,2026-06-19 13:17:00,2026-06-19 13:10:00,tester_06,2026-06-19 13:17:07,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/edfd9515-297f-40cd-92ce-9db2d6f2fece/,tester_06,7.0,10.5455368,7.4117358,10.5457277,7.411506,32.88852004622213,Yes
984,3bec361e-8294-4382-baf8-4d278c9f9efb,2026-10-28,planting,groundnuts,---,---,poor,rabbits,---,fair,yes,pest_management improved_livestock_housing timely_weeding improved_seed proper_spacing fertilizer_application,no_major_challenge,Monitoring completed successfully.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/3bec361e-8294-4382-baf8-4d278c9f9efb/1783297998293.jpg,10.2826717 7.2433685 0.0 20.0,a9001559-6926-4f90-8abf-467163c12704,2026-10-28 10:42:00,2026-10-28 10:36:00,tester_05,2026-10-28 10:42:12,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/3bec361e-8294-4382-baf8-4d278c9f9efb/,tester_05,6.0,10.2826717,7.2433685,10.2831649,7.2431126,61.57472140256246,Yes
985,9eb76e51-7ff3-40ff-bab3-f624e9742a97,2026-09-14,harvesting,groundnuts,---,---,fair,rabbits,---,good,partially,timely_weeding improved_livestock_housing,no_major_challenge,Farm progressing well.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/9eb76e51-7ff3-40ff-bab3-f624e9742a97/1784025787912.jpg,10.2832205 7.2434218 0.0 20.0,a9001559-6926-4f90-8abf-467163c12704,2026-09-14 10:46:00,2026-09-14 10:44:00,tester_05,2026-09-14 10:46:23,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/9eb76e51-7ff3-40ff-bab3-f624e9742a97/,tester_05,2.0,10.2832205,7.2434218,10.2831649,7.2431126,34.38951099758812,Yes
986,831af4bb-d2f0-46d6-8741-ed80dc7dda15,2026-07-30,planting,groundnuts,---,---,good,rabbits,---,poor,partially,pest_management improved_seed,pest_infestation lack_of_fertilizer flooding,Crop growth is satisfactory.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/831af4bb-d2f0-46d6-8741-ed80dc7dda15/1783718296903.jpg,10.2829266 7.2426131 0.0 20.0,a9001559-6926-4f90-8abf-467163c12704,2026-07-30 10:36:00,2026-07-30 10:33:00,tester_05,2026-07-30 10:36:21,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/831af4bb-d2f0-46d6-8741-ed80dc7dda15/,tester_05,3.0,10.2829266,7.2426131,10.2831649,7.2431126,60.73488012110453,Yes
987,bfcbb00c-8df8-4c67-a836-da35cdc287ea,2026-05-25,harvesting,groundnuts rice,---,fair,fair,---,---,---,no,---,lack_of_fertilizer flooding livestock_disease,Minor challenges observed.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/bfcbb00c-8df8-4c67-a836-da35cdc287ea/1783436867244.jpg,10.2651426 7.5255602 0.0 20.0,24903993-aab8-4151-8c8d-0ed5061459d8,2026-05-25 12:47:00,2026-05-25 12:40:00,tester_04,2026-05-25 12:47:29,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/bfcbb00c-8df8-4c67-a836-da35cdc287ea/,tester_04,7.0,10.2651426,7.5255602,10.2653478,7.5260267,55.90995760904408,Yes
988,0db606e5-3708-46e2-a847-ee764e1afb7a,2026-06-25,land_preparation,groundnuts,---,---,poor,---,---,---,no,---,crop_disease,Crop growth is satisfactory.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/0db606e5-3708-46e2-a847-ee764e1afb7a/1783750662325.jpg,10.2651140 7.5260682 0.0 20.0,24903993-aab8-4151-8c8d-0ed5061459d8,2026-06-25 13:22:00,2026-06-25 13:15:00,tester_04,2026-06-25 13:22:12,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/0db606e5-3708-46e2-a847-ee764e1afb7a/,tester_04,7.0,10.265114,7.5260682,10.2653478,7.5260267,26.390938484554667,Yes
989,adcf9a3b-5739-48a7-b570-a9002eabec5f,2026-03-20,flowering,rice groundnuts,---,poor,good,---,---,---,yes,improved_livestock_housing pest_management fertilizer_application proper_spacing improved_seed,no_major_challenge,Farmer following recommendations.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/adcf9a3b-5739-48a7-b570-a9002eabec5f/1783633134503.jpg,10.2652977 7.5261387 0.0 20.0,24903993-aab8-4151-8c8d-0ed5061459d8,2026-03-20 09:13:00,2026-03-20 09:07:00,tester_04,2026-03-20 09:13:27,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/adcf9a3b-5739-48a7-b570-a9002eabec5f/,tester_04,6.0,10.2652977,7.5261387,10.2653478,7.5260267,13.461312332910918,Yes
990,fc0f5708-9530-4674-a201-67dd85443f01,2026-06-03,flowering,maize,poor,---,---,---,---,---,yes,pest_management improved_seed,no_major_challenge,Farmer following recommendations.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/fc0f5708-9530-4674-a201-67dd85443f01/1783482758636.jpg,10.3386828 7.5258321 0.0 20.0,01bb8783-1874-4473-a09e-1a40d88c0f32,2026-06-03 15:12:00,2026-06-03 15:07:00,tester_02,2026-06-03 15:12:10,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/fc0f5708-9530-4674-a201-67dd85443f01/,tester_02,5.0,10.3386828,7.5258321,10.3389494,7.5255323,44.20759173261487,Yes
991,1f366c8a-7318-4f08-b08d-c627106f9ca0,2026-08-23,planting,maize,good,---,---,goats,poor,---,partially,pest_management,pest_infestation,Farm progressing well.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/1f366c8a-7318-4f08-b08d-c627106f9ca0/1783250427058.jpg,10.4891260 7.5667986 0.0 20.0,487b5217-4b4f-4d73-b0d9-ad08e08de814,2026-08-23 10:50:00,2026-08-23 10:46:00,tester_05,2026-08-23 10:50:11,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/1f366c8a-7318-4f08-b08d-c627106f9ca0/,tester_05,4.0,10.489126,7.5667986,10.4888849,7.5665167,40.850052915474116,Yes
992,58b17cb9-d85f-480b-a666-ba7b9b5bafff,2026-09-08,planting,maize,poor,---,---,goats,fair,---,yes,pest_management timely_weeding fertilizer_application improved_livestock_housing,feed_shortage livestock_disease,Crop growth is satisfactory.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/58b17cb9-d85f-480b-a666-ba7b9b5bafff/1783527862044.jpg,10.4885059 7.5663805 0.0 20.0,487b5217-4b4f-4d73-b0d9-ad08e08de814,2026-09-08 10:22:00,2026-09-08 10:16:00,tester_05,2026-09-08 10:22:12,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/58b17cb9-d85f-480b-a666-ba7b9b5bafff/,tester_05,6.0,10.4885059,7.5663805,10.4888849,7.5665167,44.69658398561392,Yes
993,ecebbd4f-87b2-4af8-91c5-e7bbad9f0dc7,2026-05-27,land_preparation,maize,fair,---,---,goats,fair,---,yes,improved_livestock_housing fertilizer_application timely_weeding pest_management improved_seed proper_spacing,lack_of_fertilizer crop_disease flooding,Farm progressing well.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/ecebbd4f-87b2-4af8-91c5-e7bbad9f0dc7/1783438229240.jpg,10.4886913 7.5665647 0.0 20.0,487b5217-4b4f-4d73-b0d9-ad08e08de814,2026-05-27 12:57:00,2026-05-27 12:53:00,tester_05,2026-05-27 12:57:19,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/ecebbd4f-87b2-4af8-91c5-e7bbad9f0dc7/,tester_05,4.0,10.4886913,7.5665647,10.4888849,7.5665167,22.15783346745871,Yes
994,aa961539-8496-4545-a6e2-41aca2f8dc55,2026-02-18,vegetative_growth,maize,good,---,---,rabbits,---,good,yes,improved_livestock_housing fertilizer_application improved_seed proper_spacing,no_major_challenge,Farm progressing well.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/aa961539-8496-4545-a6e2-41aca2f8dc55/1784766578098.jpg,10.3939171 7.4513184 0.0 20.0,14df2903-6396-4998-9e2e-bb81b6e566ee,2026-02-18 11:20:00,2026-02-18 11:18:00,tester_06,2026-02-18 11:20:27,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/aa961539-8496-4545-a6e2-41aca2f8dc55/,tester_06,2.0,10.3939171,7.4513184,10.3941871,7.4508804,56.53465653945613,Yes
995,234b86cc-b8b4-4e52-bb55-848b2ba1a294,2026-03-24,planting,maize,poor,---,---,rabbits,---,fair,yes,proper_spacing fertilizer_application pest_management improved_seed,crop_disease feed_shortage poor_rainfall,Monitoring completed successfully.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/234b86cc-b8b4-4e52-bb55-848b2ba1a294/1783180894175.jpg,10.3942732 7.4511310 0.0 20.0,14df2903-6396-4998-9e2e-bb81b6e566ee,2026-03-24 13:33:00,2026-03-24 13:27:00,tester_06,2026-03-24 13:33:08,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/234b86cc-b8b4-4e52-bb55-848b2ba1a294/,tester_06,6.0,10.3942732,7.451131,10.3941871,7.4508804,29.032169075467692,Yes
996,dbedda1b-5099-495a-a44c-e78a70af4064,2026-10-18,flowering,maize,poor,---,---,goats rabbits,poor,good,yes,improved_livestock_housing improved_seed pest_management fertilizer_application timely_weeding,no_major_challenge,Crop growth is satisfactory.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/dbedda1b-5099-495a-a44c-e78a70af4064/1784477505371.jpg,10.5777896 7.4994145 0.0 20.0,fb5e7eea-4b27-43aa-9738-91e0383d8313,2026-10-18 10:57:00,2026-10-18 10:53:00,tester_01,2026-10-18 10:57:27,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/dbedda1b-5099-495a-a44c-e78a70af4064/,tester_01,4.0,10.5777896,7.4994145,10.5781386,7.4993753,39.042857986264764,Yes
997,eb5df462-6950-4d2b-ab0c-5888c7fe5e2f,2026-06-29,land_preparation,rice,---,good,---,rabbits goats,poor,poor,yes,timely_weeding proper_spacing,pest_infestation crop_disease livestock_disease,Crop growth is satisfactory.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/eb5df462-6950-4d2b-ab0c-5888c7fe5e2f/1784579940416.jpg,10.5779889 7.4994890 0.0 20.0,fb5e7eea-4b27-43aa-9738-91e0383d8313,2026-06-29 10:27:00,2026-06-29 10:24:00,tester_01,2026-06-29 10:27:22,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/eb5df462-6950-4d2b-ab0c-5888c7fe5e2f/,tester_01,3.0,10.5779889,7.499489,10.5781386,7.4993753,20.77355738748896,Yes
998,ea5b3181-68b3-4e20-bce2-a3f2ec1f44a5,2026-10-24,land_preparation,maize,poor,---,---,goats,good,---,partially,improved_livestock_housing pest_management,no_major_challenge,Crop growth is satisfactory.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/ea5b3181-68b3-4e20-bce2-a3f2ec1f44a5/1783908599498.jpg,10.3512248 7.4031353 0.0 20.0,fa63c508-5721-4a20-b5aa-753fa4ab6009,2026-10-24 09:35:00,2026-10-24 09:29:00,tester_01,2026-10-24 09:35:15,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/ea5b3181-68b3-4e20-bce2-a3f2ec1f44a5/,tester_01,6.0,10.3512248,7.4031353,10.3510093,7.4029947,28.47336918337595,Yes
999,5b830a3e-1a68-4402-9b82-a11125a84b16,2026-10-22,harvesting,groundnuts maize,poor,---,good,goats,good,---,yes,fertilizer_application proper_spacing improved_livestock_housing,no_major_challenge,Farm progressing well.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/5b830a3e-1a68-4402-9b82-a11125a84b16/1783568388515.jpg,10.3506818 7.4027928 0.0 20.0,fa63c508-5721-4a20-b5aa-753fa4ab6009,2026-10-22 08:28:00,2026-10-22 08:23:00,tester_01,2026-10-22 08:28:27,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/5b830a3e-1a68-4402-9b82-a11125a84b16/,tester_01,5.0,10.3506818,7.4027928,10.3510093,7.4029947,42.589816902117576,Yes
1000,1911bb63-4af9-4cbf-8eba-9caddce8e3b5,2026-02-26,vegetative_growth,maize,poor,---,---,goats,good,---,yes,proper_spacing pest_management improved_seed improved_livestock_housing timely_weeding,no_major_challenge,Minor challenges observed.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/1911bb63-4af9-4cbf-8eba-9caddce8e3b5/1784782052909.jpg,10.5463545 7.5716090 0.0 20.0,c1f12be4-b1a8-4e8b-a8db-e89be4f027bb,2026-02-26 16:12:00,2026-02-26 16:10:00,tester_02,2026-02-26 16:12:10,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/1911bb63-4af9-4cbf-8eba-9caddce8e3b5/,tester_02,2.0,10.5463545,7.571609,10.5458741,7.5715748,53.548712709172044,Yes
1001,5f310db6-d970-4065-a455-dcb4c61e0c14,2026-06-13,harvesting,groundnuts,---,---,poor,rabbits,---,fair,yes,improved_livestock_housing improved_seed timely_weeding,livestock_disease crop_disease,Farm progressing well.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/5f310db6-d970-4065-a455-dcb4c61e0c14/1784831571023.jpg,10.2711185 7.2611860 0.0 20.0,460cf71b-a280-41a4-a1fd-cf66ff7b042b,2026-06-13 08:19:00,2026-06-13 08:17:00,tester_02,2026-06-13 08:19:07,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/5f310db6-d970-4065-a455-dcb4c61e0c14/,tester_02,2.0,10.2711185,7.261186,10.2707121,7.260736,66.83019589624195,Yes
1002,b97432b1-d016-4d67-8487-8c9303b19844,2026-05-26,harvesting,rice,---,good,---,rabbits,---,fair,yes,timely_weeding pest_management fertilizer_application improved_seed proper_spacing improved_livestock_housing,no_major_challenge,Crop growth is satisfactory.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/b97432b1-d016-4d67-8487-8c9303b19844/1783335177097.jpg,10.2707643 7.2603758 0.0 20.0,460cf71b-a280-41a4-a1fd-cf66ff7b042b,2026-05-26 09:18:00,2026-05-26 09:16:00,tester_02,2026-05-26 09:18:15,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/b97432b1-d016-4d67-8487-8c9303b19844/,tester_02,2.0,10.2707643,7.2603758,10.2707121,7.260736,39.83576133503431,Yes
1003,109179df-a861-4e77-9f11-151d8df015fd,2026-05-15,planting,maize rice,fair,good,---,goats,poor,---,yes,timely_weeding improved_seed pest_management,feed_shortage flooding crop_disease,Farmer following recommendations.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/109179df-a861-4e77-9f11-151d8df015fd/1784192446320.jpg,10.4551823 7.3122401 0.0 20.0,00b1a5f3-303e-4453-a936-71cce2486c4e,2026-05-15 12:43:00,2026-05-15 12:37:00,tester_03,2026-05-15 12:43:12,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/109179df-a861-4e77-9f11-151d8df015fd/,tester_03,6.0,10.4551823,7.3122401,10.4551224,7.3127076,51.55263931439377,Yes
1004,ebebf412-4438-45e0-a9f1-ca3e6b5bb644,2026-08-07,vegetative_growth,rice maize,fair,good,---,goats,poor,---,yes,pest_management fertilizer_application timely_weeding,no_major_challenge,Crop growth is satisfactory.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/ebebf412-4438-45e0-a9f1-ca3e6b5bb644/1783111704759.jpg,10.4555649 7.3125617 0.0 20.0,00b1a5f3-303e-4453-a936-71cce2486c4e,2026-08-07 14:32:00,2026-08-07 14:29:00,tester_03,2026-08-07 14:32:16,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/ebebf412-4438-45e0-a9f1-ca3e6b5bb644/,tester_03,3.0,10.4555649,7.3125617,10.4551224,7.3127076,51.725611846652235,Yes
1005,046c0ddf-8b97-44a3-93cf-5bd96379aea1,2026-07-04,land_preparation,groundnuts,---,---,good,rabbits,---,fair,partially,improved_livestock_housing proper_spacing,no_major_challenge,Minor challenges observed.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/046c0ddf-8b97-44a3-93cf-5bd96379aea1/1784791057992.jpg,10.4348900 7.4371916 0.0 20.0,40d3fc2b-2464-49db-8664-28de8c76c90e,2026-07-04 13:22:00,2026-07-04 13:18:00,tester_04,2026-07-04 13:22:18,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/046c0ddf-8b97-44a3-93cf-5bd96379aea1/,tester_04,4.0,10.43489,7.4371916,10.435251,7.4376246,62.07619959546637,Yes
1006,c5d6c16f-edff-4f9c-b994-82ccd532b645,2026-09-30,flowering,groundnuts,---,---,fair,rabbits,---,good,yes,improved_seed fertilizer_application,feed_shortage pest_infestation lack_of_fertilizer,Crop growth is satisfactory.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/c5d6c16f-edff-4f9c-b994-82ccd532b645/1783959216629.jpg,10.4353501 7.4374245 0.0 20.0,40d3fc2b-2464-49db-8664-28de8c76c90e,2026-09-30 08:12:00,2026-09-30 08:10:00,tester_04,2026-09-30 08:12:13,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/c5d6c16f-edff-4f9c-b994-82ccd532b645/,tester_04,2.0,10.4353501,7.4374245,10.435251,7.4376246,24.500069343715616,Yes
1007,2864a2ba-895b-41a0-b059-1621452f98d0,2026-07-06,planting,rice,---,good,---,rabbits,---,poor,partially,improved_livestock_housing fertilizer_application,feed_shortage poor_rainfall,Farm progressing well.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/2864a2ba-895b-41a0-b059-1621452f98d0/1784558895008.jpg,10.4214569 7.2642412 0.0 20.0,84e0f6ac-7950-4ed5-a54e-f1f30442268d,2026-07-06 15:39:00,2026-07-06 15:37:00,tester_05,2026-07-06 15:39:22,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/2864a2ba-895b-41a0-b059-1621452f98d0/,tester_05,2.0,10.4214569,7.2642412,10.4212603,7.2647355,58.31000589112608,Yes
1008,db2ebe3c-e32a-46bc-91ff-0fc35376f8a7,2026-07-12,planting,maize groundnuts,poor,---,poor,---,---,---,no,---,no_major_challenge,Farm progressing well.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/db2ebe3c-e32a-46bc-91ff-0fc35376f8a7/1784676059766.jpg,10.2713961 7.6143599 0.0 20.0,0f0496d9-bc05-42b3-a7b5-9187f32ba924,2026-07-12 10:35:00,2026-07-12 10:29:00,tester_01,2026-07-12 10:35:08,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/db2ebe3c-e32a-46bc-91ff-0fc35376f8a7/,tester_01,6.0,10.2713961,7.6143599,10.2434641,7.589259,4146.054837139834,No
1009,5fa71d9b-0f43-4aae-a697-8ee5001f0b22,2026-08-24,flowering,maize rice,fair,fair,---,goats,poor,---,yes,pest_management improved_seed fertilizer_application timely_weeding,no_major_challenge,Crop growth is satisfactory.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/5fa71d9b-0f43-4aae-a697-8ee5001f0b22/1784230265868.jpg,10.3780999 7.3636831 0.0 20.0,e050dce8-52ea-4ea7-8777-c10fd7cc3bb6,2026-08-24 15:03:00,2026-08-24 15:01:00,tester_02,2026-08-24 15:03:24,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/5fa71d9b-0f43-4aae-a697-8ee5001f0b22/,tester_02,2.0,10.3780999,7.3636831,10.3778379,7.3639006,37.61202317903,Yes
1010,d783c00a-6f20-491f-acf5-9c4f810f2a04,2026-09-10,flowering,groundnuts rice maize,poor,good,good,goats,fair,---,yes,fertilizer_application timely_weeding proper_spacing improved_livestock_housing,no_major_challenge,Minor challenges observed.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/d783c00a-6f20-491f-acf5-9c4f810f2a04/1784343873055.jpg,10.3782410 7.3634621 0.0 20.0,e050dce8-52ea-4ea7-8777-c10fd7cc3bb6,2026-09-10 16:10:00,2026-09-10 16:07:00,tester_02,2026-09-10 16:10:17,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/d783c00a-6f20-491f-acf5-9c4f810f2a04/,tester_02,3.0,10.378241,7.3634621,10.3778379,7.3639006,65.6457095029607,Yes
1011,c2b9c118-7cce-4152-a956-e344fe2df37c,2026-06-27,planting,maize,fair,---,---,---,---,---,yes,fertilizer_application improved_seed pest_management timely_weeding proper_spacing,feed_shortage lack_of_fertilizer,Farmer following recommendations.,https://www.commcarehq.org/a/commcare-learn-ahmad/api/form_attachment/v1/c2b9c118-7cce-4152-a956-e344fe2df37c/1784864958691.jpg,10.3373759 7.2893191 0.0 20.0,516e9e36-bc48-45dc-a509-91b24dac5d5f,2026-06-27 16:01:00,2026-06-27 15:54:00,tester_03,2026-06-27 16:01:24,https://www.commcarehq.org/a/commcare-learn-ahmad/reports/form_data/c2b9c118-7cce-4152-a956-e344fe2df37c/,tester_03,7.0,10.3373759,7.2893191,10.3373714,7.2894063,9.551925955865856,Yes
